District ID,District Name,Superintendent,School ID,School Name,Principal,Grades Offered,School Type,County,Total Enrollment,Pct Mobile Students 2015-16,Enrollment K-3,Enrollment 4-5,Enrollment 6-8,Pct of Students Attending Regularly,School Self-Contained Class Size,Oregon Self-Contained Class Size,School Departmentalized Class Size,Oregon Departmentalized Class Size,School ELA Class Size,Oregon ELA Class Size,School Math Class Size,Oregon Math Class Size,School Science Class Size,Oregon Science Class Size,School Social Studies Class Size,Oregon Social Studies Class Size,Pct Ever English Learners,Pct Economically Disadvantaged,Pct Students with Disabilities,Pct Asian,Pct Black,Pct Hispanic,Pct Native American,Pct Multi-racial,Pct Pacific Islander,Pct White,Number of Languages Spoken,School Rating,Percent with All Required Vaccinations,Percent without All Required Vaccinations,ESEA Designation,Rating Compared to Similar Schools,ELA Pct Met 2014-15,ELA Pct Met 2015-16,State ELA Pct Met,Like Schools ELA Pct Met,Math Pct Met 2014-15,Math Pct Met 2015-16,State Math Pct Met,Like Schools Math Pct Met,Science Pct Met 2012-13,Science Pct Met 2013-14,Science Pct Met 2014-15,Science Pct Met 2015-16,State Science Pct Met,Like Schools Science Pct Met,Freshmen On Track 2015-16,State Freshman On Track,Like Schools Freshman On Track,Freshmen On Track 2013-14,Freshmen On Track 2014-15,Four Year Graduation Rate 2011-12,Four Year Graduation Rate 2012-13,Four Year Graduation Rate 2013-14,Four Year Graduation Rate 2014-15,State Four Year Graduation Rate,Like Schools Four Year Graduation Rate,Five Year Completion Rate 2011-12,Five Year Completion Rate 2012-13,Five Year Completion Rate 2013-14,Five Year Completion Rate 2014-15,State Five Year Completion Rate,Like Schools Five Year Completion Rate,Dropout Rate 2011-12,Dropout Rate 2012-13,Dropout Rate 2013-14,Dropout Rate 2014-15,State Dropout Rate,Like Schools Dropout Rate,Continuing Education Rate 2010-11,Continuing Education Rate 2011-12,Continuing Education Rate 2012-13,Continuing Education Rate 2013-14,State Continuing Education Rate,Like Schools Continuing Education Rate
2085,Mapleton SD 32,Jodi O'Mara,569,Mapleton Jr/Sr High School,Brenda Moyer,Grade(s) 7-12,H,Lane,79,12.50%,,,,71.40%,--,--,,,12,24,12,24,13.5,26,12.5,27,*,***,19%,0,0,5%,3%,11%,0,81%,2,Not Rated,95,5,,Not Rated,46.9,35.1,61.7,53.5,28.1,21.6,41.2,30.1,35.7,35,45.8,47.6,62.1,55,70,83.5,81.2,78.6,*,76.9,85.7,76.2,90.9,73.8,79.8,100,100,92.9,85.7,81.6,90,0,3.6,3.7,0,4.3,2.8,42.9,58.3,38.5,38.9,59.4,40.5
2094,Marcola SD 79J,William Watkins,603,Marcola Elementary School,Tamara White,Grade(s) K-6,E,Lane,110,17.70%,63,36,11,94.30%,19.5,25,11,25,,,,,,,,,*,45%,18%,0,0,5%,1%,6%,0,88%,1,Not Rated,90,10,,Not Rated,35.6,51.9,52.8,55.1,30.1,44.4,43.7,42.4,77.3,54.5,>95,53.3,66.5,77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,Marcola SD 79J,William Watkins,604,Mohawk High School,William Watkins,Grade(s) 7-12,H,Lane,116,24.20%,,,,70.10%,--,--,,,11,24,22,24,15,26,22,27,*,43%,18%,2%,0,4%,0,9%,0,85%,1,Not Rated,90,10,,Not Rated,54,66,61.7,56.7,12,18,41.2,34.3,69.4,54.2,51.7,60,62.1,66,66.7,83.5,82.7,47.4,>95,63.6,53.3,68.4,91.7,73.8,76.9,80.6,80,80,73.7,81.6,89.9,1.6,5.1,4.3,3.1,4.3,2.7,54.2,25,45.5,30.8,59.4,46.9
2090,McKenzie SD 68,Jim Thomas,593,McKenzie Elementary School,Nathaniel Tompkins,Grade(s) K-8,E,Lane,132,20.40%,57,31,44,80.30%,15.5,25,14.5,25,,,,,,,,,*,***,15%,1%,1%,13%,4%,8%,0,74%,1,Not Rated,88,12,,Not Rated,50,58.6,54.5,49.3,35.2,33.7,43.9,39.1,73.1,64.9,59.4,77.4,65.2,70.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2090,McKenzie SD 68,Jim Thomas,594,McKenzie High School,Nathaniel Tompkins,Grade(s) 9-12,H,Lane,56,24.60%,,,,72.00%,--,--,,,10,24,10,24,9,26,9,27,*,***,23%,0,0,7%,7%,13%,0,73%,1,Not Rated,88,12,,Not Rated,73.3,63.6,70,68.4,33.3,45.5,34.2,29.3,83.3,70,64.3,60,60,54.9,82.4,83.5,79.4,76.9,64.7,68,81,92.3,72,73.8,63.1,78.3,78.3,90.5,85.7,81.6,75.7,4.2,0,3.2,11.4,4.3,8.8,66.7,66.7,41.2,41.7,59.4,46.8
2256,McMinnville SD 40,Maryalice Russell,1228,Columbus Elementary School,Kathi Fowler,Grade(s) K-5,E,Yamhill,511,15.60%,345,166,--,87.80%,23,25,492,25,,,,,,,,,26%,***,14%,1%,2%,37%,1%,2%,<1%,59%,2,Not Rated,95,5,,Not Rated,53.5,55.8,52.4,46.4,43.2,54.6,44.9,38.4,82.8,81.3,75.6,82.9,66.5,60.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,Maryalice Russell,1315,Duniway Middle School,Hilary  Brittan Lack,Grade(s) 6-8,M,Yamhill,765,12.50%,,,,88.60%,--,--,,,25,24,25,24,24,26,24,27,28%,***,14%,1%,1%,34%,1%,0,1%,62%,6,Not Rated,96,4,,Not Rated,67,60.4,56.7,52.3,55.3,51.1,42.8,39.3,60.1,70,75.5,73.4,63.8,64.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,Maryalice Russell,2784,Grandhaven Elementary School,Marjorie Johnson,Grade(s) K-5,E,Yamhill,549,16.10%,357,192,--,83.30%,23,25,552,25,,,,,,,,,33%,***,14%,2%,<1%,44%,1%,1%,<1%,51%,4,Not Rated,95,5,,Not Rated,62.1,66.4,52.4,41.3,67.1,68.7,44.9,30.8,77.8,76.7,69.6,64.9,66.5,53.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2256,McMinnville SD 40,Maryalice Russell,1234,McMinnville High School,Tony Vicknair,Grade(s) 9-12,H,Yamhill,2005,15.10%,,,,78.40%,--,--,,,26,24,21,24,22.5,26,28.5,27,27%,***,11%,1%,1%,33%,1%,<1%,1%,63%,10,Not Rated,95,5,,Not Rated,72.7,74.7,70,63.6,34.9,40.8,34.2,28.6,64.6,69.4,64,60.5,60,58.8,91.4,83.5,83.4,77.9,88.3,77.1,79.9,84.1,84.6,73.8,77.3,80.7,84.2,87.1,89.9,81.6,85.3,2.6,2.8,2.2,2.3,4.3,2.4,51.6,56.4,58.1,53.3,59.4,61
2256,McMinnville SD 40,Maryalice Russell,1230,Memorial Elementary School,Dan Sheppard,Grade(s) K-5,E,Yamhill,569,6.80%,391,178,--,88.50%,24,25,565,25,,,,,,,,,9%,***,10%,2%,1%,17%,2%,1%,0,78%,2,Not Rated,94,6,,Not Rated,69.1,71.3,52.4,53.8,71.4,71.5,44.9,45.1,88.2,80.5,86.4,79.7,66.5,65.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
