SCHLINSTID,SCHLYR,CNTYGEOGAREAID,DISTINSTID,STUDENRCNT,DISTSTUDENRCNT,CntyStudEnrCnt,FREELNCHCNT,DISTFREELNCHCNT,CntyFreeLnchCnt,REDLNCHCNT,DISTREDLNCHCNT,CntyRedLnchCnt,TOTELGBLAMT,DISTTOTELGBLAMT,CntyTotElgblAmt,FREEREDLNCHPCT,DISTFREEREDLNCHPCT,CntyFreeRedLnchPct,CNTYNM,DISTNM,SCHLNM,last column
1090,"7/1/2008",32,2221,187,395,866,58,100,261,20,63,135,78,163,396,41.71,41.27,45.73,"Wallowa","Enterprise SD 21","Enterprise Elementary School",-
1091,"7/1/2008",32,2221,208,395,866,42,100,261,43,63,135,85,163,396,40.87,41.27,45.73,"Wallowa","Enterprise SD 21","Enterprise High School",-
1092,"7/1/2008",32,2222,4,4,866,,,261,,,135,0,0,396,,,45.73,"Wallowa","Troy SD 54","Troy Elementary School",-
1093,"7/1/2008",33,4131,446,2908,3441,287,1353,1560,46,272,329,333,1625,1889,74.66,55.88,54.9,"Wasco","North Wasco County SD 21","Chenowith Elementary School",-
1095,"7/1/2008",33,4131,137,2908,3441,33,1353,1560,13,272,329,46,1625,1889,33.58,55.88,54.9,"Wasco","North Wasco County SD 21","Mosier Community School",-
1097,"7/1/2008",33,4131,299,2908,3441,162,1353,1560,23,272,329,185,1625,1889,61.87,55.88,54.9,"Wasco","North Wasco County SD 21","Colonel Wright Elementary School",-
1098,"7/1/2008",33,4131,418,2908,3441,174,1353,1560,40,272,329,214,1625,1889,51.2,55.88,54.9,"Wasco","North Wasco County SD 21","Dry Hollow Elementary School",-
1100,"7/1/2008",33,4131,639,2908,3441,339,1353,1560,76,272,329,415,1625,1889,64.95,55.88,54.9,"Wasco","North Wasco County SD 21","The Dalles Middle School",-
1101,"7/1/2008",33,4131,969,2908,3441,358,1353,1560,74,272,329,432,1625,1889,44.58,55.88,54.9,"Wasco","North Wasco County SD 21","The Dalles-Wahtonka High School",-
1108,"7/1/2008",33,2225,109,226,3441,63,119,1560,17,37,329,80,156,1889,73.39,69.03,54.9,"Wasco","South Wasco County SD 1","Maupin Elementary School",-
1109,"7/1/2008",33,2225,117,226,3441,56,119,1560,20,37,329,76,156,1889,64.96,69.03,54.9,"Wasco","South Wasco County SD 1","South Wasco County High School",-
1110,"7/1/2008",34,2239,390,20542,83118,45,6539,23377,40,1793,5780,85,8332,29157,21.79,40.56,35.08,"Washington","Hillsboro SD 1J","Lenox Elementary School",-
3471,"7/1/2001",20,2064,,,48113,,,13168,,,3696,0,,16864,0,,35.05,"LANE","Lane ESD","Lane ESD Program at Jefferson Middle School",-
3471,"7/1/2002",20,2064,,,48176,,,14057,,,3728,0,,17785,0,,36.92,"LANE","Lane ESD","Lane ESD Program at Jefferson Middle School",-
3472,"7/1/2001",20,2064,,,48113,,,13168,,,3696,0,,16864,0,,35.05,"LANE","Lane ESD","Lane ESD Program at North Eugene High School",-
3472,"7/1/2002",20,2064,,,48176,,,14057,,,3728,0,,17785,0,,36.92,"LANE","Lane ESD","Lane ESD Program at North Eugene High School",-
3474,"7/1/2001",26,2148,,331,94161,,133,30464,,16,7772,0,149,38236,0,45.02,40.61,"MULTNOMAH","Multnomah ESD","ESD Program at Margaret Scott Elementary School",-
