DistInstID,SchlYr,CntyNm,DistNm,BldgNm,DistStudCnt,YrBlt,YrRemod,SqFt,DistSqFt,last column
2242,"7/1/2001","WASHINGTON","Tigard-Tualatin SD 23J","HAZELBROOK PORTABLE",11765,1996,,1792,1537629,-
2242,"7/1/2001","WASHINGTON","Tigard-Tualatin SD 23J","THS COLONIES",11765,1982,,5376,1537629,-
2242,"7/1/2001","WASHINGTON","Tigard-Tualatin SD 23J","THS PORTABLE 1 & 2",11765,1992,,3584,1537629,-
2242,"7/1/2001","WASHINGTON","Tigard-Tualatin SD 23J","THS PORTABLE 3",11765,2001,,1792,1537629,-
2242,"7/1/2001","WASHINGTON","Tigard-Tualatin SD 23J","TUALATIN ELEM. PORTABLE 2",11765,1996,,1792,1537629,-
2242,"7/1/2001","WASHINGTON","Tigard-Tualatin SD 23J","TWALITY PORTABLES",11765,1992,,2584,1537629,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","GARFIELD ELEMENTARY (PORTABLES)",7293,1987,,2200,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","HARDING SERVICES BUILDING (PORTABLES)",7293,1988,,2200,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","HOOVER ELEMENTARY (PORTABLE A)",7293,1971,,1100,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","HOOVER ELEMENTARY (PORTABLE B)",7293,1974,,1100,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","HOOVER ELEMENTARY (PORTABLES C)",7293,1982,,2200,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","INAVALE SCHOOL (PORTABLE A)",7293,1971,,1100,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","INAVALE SCHOOL (PORTABLE B)",7293,1974,,1100,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","JEFFERSON ELEMENTARY (PORTABLES A)",7293,1987,,2200,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","LINCOLN ELEMENTARY (PORTABLES A)",7293,1988,,2200,1153634,-
1901,"7/1/2001","BENTON","Corvallis SD 509J","MOUNTAIN VIEW ELEMENTARY (PORTABLE A)",7293,1975,,1100,1153634,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON ELEMENTARY-PLAYSHED",994,1960,,1920,139293,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON JR HIGH/MIDDLE",994,1969,,20924,139293,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON SR HIGH",994,1936,2000,30212,139293,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON SR HIGH-GREENHOUSE (3) total",994,1982,1991,4400,139293,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON JR/SR HIGH-MULTI PURPOSE/Commons",994,1969,2000,14689,139293,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON SR HIGH-Wood/Ag Shop",994,1975,2000,5890,139293,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON SR HIGH-STADIUM/Football",994,1969,,4480,139293,-
2253,"7/1/2000","YAMHILL","DAYTON SCH DIST 8","DAYTON JR/SR HIGH  3 MODULARS (TOTAL)",994,1998,,5376,139293,-
2190,"7/1/2000","POLK","Dallas SD 2","DALLAS ADMINISTRATIVE OFFICE",3307,1935,1989,10121,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","BRIDGEPORT ELEMENTARY",3307,1915,1991,4308,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","BRIDGEPORT ELEMENTARY modulars",3307,1991,,2821,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","LYLE ELEMENTARY",3307,1950,1994,48077,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","OAKDALE HEIGHTS ELEMENTARY",3307,1975,,46370,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","PEDEE ELEMENTARY",3307,1930,1994,6920,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","RICKREALL ELEMENTARY",3307,1923,1994,10726,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","WHITWORTH ELEMENTARY",3307,1956,1994,48748,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","LACREOLE JUNIOR HIGH",3307,1966,1996,115282,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","DALLAS HIGH",3307,1953,2000,160500,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","MORRISON SECONDARY",3307,1935,1989,20242,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","DAILY LIVING SKILLS CENTER",3307,1996,,1372,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","VOCATIONAL SHOP - DALLAS HIGH SCHOOL",3307,1958,2000,15883,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","DAY CARE CENTER",3307,1997,,2784,495946,-
2190,"7/1/2000","POLK","Dallas SD 2","FFA CLASSROOM (Modular)",3307,1988,,1792,495946,-
1945,"7/1/2000","COLUMBIA","Clatskanie Sch Dist 6j","CLATSKANIE ELEMENTARY",930,1927,1945,34850,242839,-
1945,"7/1/2000","COLUMBIA","Clatskanie Sch Dist 6j","CLATSKANIE BUS GARAGE",930,1940,1976,32000,242839,-
1945,"7/1/2000","COLUMBIA","Clatskanie Sch Dist 6j","CLATSKANIE MIDDLE / HIGH",930,1978,,117768,242839,-
1945,"7/1/2000","COLUMBIA","Clatskanie Sch Dist 6j","CLATSKANIE ELEMENTARY-CARDIFF",930,1965,2001,20992,242839,-
1945,"7/1/2000","COLUMBIA","Clatskanie Sch Dist 6j","FLORENCE I TAGG (ADMIN & ALT ED)",930,1971,,37229,242839,-
2042,"7/1/2000","JACKSON","CENTRAL POINT SCH DIST 6","CENTRAL POINT ADMIN/BUS GAR",4600,1968,,5444,477722,-
